Date,Baseline,Actual,Type,Breakfast
2018-08-06,23.5,12.5,Syrian,NO
2018-08-07,23.5,19.5,Syrian,YES
2018-08-08,23.5,27.5,Indian,NO
2018-08-09,23.5,12.5,Syrian,NO
2018-08-10,23.5,30,Mexican,YES
2018-08-13,23.5,12.5,Syrian,NO
2018-08-14,23.5,12.5,Syrian,NO
2018-08-16,23.5,10,Georgian,NO
2018-08-17,23.5,25,Korean,NO
2018-08-20,23.5,12.5,Syrian,NO
2018-08-21,23.5,12.5,Syrian,NO
2018-08-22,23.5,15.5,Syrian,NO
2018-08-23,23.5,17.5,Thai,NO
2018-08-24,23.5,25,Korean,NO
2018-08-27,23.5,15.5,Syrian,YES
2018-08-28,23.5,24,Other,NO
2018-08-30,23.5,26.5,Thai,YES
2018-08-31,23.5,31,Korean,YES
2018-09-03,23.5,12.5,Syrian,NO
